Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,ylabel
1,Hurricane,1,119,99,99,80,148.9841,0
1,Famine,0,99,159,159,139,418.0108,1
2,Hurricane,1,319,20,100,558,68.5073,0
1,Famine,1,358,139,139,139,114.2147,1
1,Famine,0,179,199,199,417,87.4643,0
1,Famine,1,139,298,298,179,44.0028,0
1,Famine,0,80,80,80,100,221.0713,1
1,Famine,0,139,179,179,179,116.5869,0
1,Flood,1,0,278,278,99,0,2
1,Flood,1,179,239,239,159,22.4109,2
1,Famine,0,179,100,100,199,114.2464,0
1,Flood,0,119,99,99,179,134.8453,2
1,Famine,0,199,119,119,139,143.2,0
2,Hurricane,1,139,80,179,80,432.2962,1
1,Flood,1,258,139,139,258,82.0061,2
1,Famine,1,119,219,219,139,169.0067,1
1,Famine,0,239,199,199,179,135.559,1
1,Famine,0,179,139,139,139,144.0312,0
2,Famine,0,199,99,198,179,130.8482,1
1,Famine,0,80,99,99,298,194.1262,1
4,Famine,0,139,80,457,99,188.099,1
1,Famine,0,139,119,119,80,100.9071,1
2,Famine,0,99,119,199,119,256.7358,0
1,Famine,0,99,119,119,80,335.0302,1
1,Famine,0,99,179,179,99,189.1144,1
1,Hurricane,1,20,140,140,219,266.6927,0
1,Famine,0,99,99,99,199,51.12,0
1,Famine,0,99,159,159,239,135.7765,0
2,Famine,0,99,80,160,199,383.4169,1
2,Hurricane,1,219,179,278,80,130.384,1
2,Famine,0,99,80,219,179,546.6736,0
1,Famine,0,159,139,139,139,766.2997,1
1,Hurricane,1,279,419,419,319,140.0009,1
1,Famine,0,139,179,179,159,275.055,0
1,Famine,1,0,139,139,219,0,1
2,Hurricane,1,119,199,279,99,125.2557,1
